2026-02-26T23:48:12.830Z [ODDS]  Santos: 1/8 → 1/7
2026-02-26T23:48:24.111Z [ODDS]  Santos: 1/7 → 1/8
2026-02-26T23:48:48.465Z [ODDS]  Vasco da Gama: 50/1 → 66/1
2026-02-26T23:49:16.429Z [ODDS]  Vasco da Gama: 66/1 → 50/1
2026-02-26T23:49:24.095Z [ODDS]  Vasco da Gama: 50/1 → 66/1
2026-02-26T23:49:49.390Z [ODDS]  Draw: 5/1 → 11/2, Santos: 1/8 → 1/9
2026-02-26T23:49:55.214Z [ODDS]  Vasco da Gama: 66/1 → 50/1, Draw: 11/2 → 9/2, Santos: 1/9 → 1/6
2026-02-26T23:50:01.077Z [ODDS]  Vasco da Gama: 50/1 → 66/1, Draw: 9/2 → 11/2, Santos: 1/6 → 1/9
2026-02-26T23:51:08.276Z [ODDS]  Vasco da Gama: 66/1 → 80/1
2026-02-26T23:51:28.120Z [ODDS]  Vasco da Gama: 80/1 → 50/1, Draw: 11/2 → 9/2, Santos: 1/9 → 1/7
2026-02-26T23:51:30.825Z [ODDS]  Vasco da Gama: 50/1 → 80/1, Draw: 9/2 → 11/2, Santos: 1/7 → 1/9
2026-02-26T23:51:36.239Z [ODDS]  Draw: 11/2 → 6/1, Santos: 1/9 → 1/10
2026-02-26T23:51:47.066Z [ODDS]  Vasco da Gama: 80/1 → 50/1, Draw: 6/1 → 9/2, Santos: 1/10 → 1/7
2026-02-26T23:51:49.770Z [ODDS]  Vasco da Gama: 50/1 → 80/1, Draw: 9/2 → 6/1, Santos: 1/7 → 1/10
2026-02-26T23:51:58.338Z [ODDS]  Vasco da Gama: 80/1 → 50/1, Draw: 6/1 → 9/2, Santos: 1/10 → 1/7
2026-02-26T23:52:01.044Z [ODDS]  Vasco da Gama: 50/1 → 80/1, Draw: 9/2 → 13/2, Santos: 1/7 → 1/11
2026-02-26T23:52:04.200Z [ODDS]  Santos: 1/11 → 1/12
2026-02-26T23:52:45.256Z [ODDS]  Santos: 1/12 → 1/11
2026-02-26T23:52:50.671Z [ODDS]  Vasco da Gama: 80/1 → 100/1, Draw: 13/2 → 7/1, Santos: 1/11 → 1/12
2026-02-26T23:53:05.551Z [ODDS]  Draw: 7/1 → 13/2
2026-02-26T23:53:25.845Z [ODDS]  Draw: 13/2 → 7/1
2026-02-26T23:53:52.003Z [ODDS]  Vasco da Gama: 100/1 → 125/1, Draw: 7/1 → 15/2, Santos: 1/12 → 1/14
2026-02-26T23:54:01.024Z [ODDS]  Draw: 15/2 → 8/1
